2012-05-21 12:52:48	1043182	1274362	5	This is truly fantastic!
2012-10-14 01:36:07	1242853	1273879	2	The product quality was OK
2012-10-14 02:41:50	1047430	1273799	2	Shoddy quality
2012-10-14 10:10:05	1087455	1274476	4	Quality was passable
2012-10-14 10:42:41	1170230	1273964	2	It was OK
2012-10-14 19:12:33	1063130	1274734	4	It was OK
2012-10-14 22:00:56	1031378	1274616	4	Quality was passable
2012-10-15 00:27:47	1203215	1273850	5	Awesome product
2012-10-15 01:14:26	1135616	1274218	4	Value of product was just alright
2012-10-15 01:18:58	1145446	1274304	3	Average quality
2012-10-15 04:49:00	1211187	1273654	3	It was just alright
2012-10-15 05:01:38	1026707	1273964	2	OK but not great
2012-10-15 05:25:30	1166507	1273732	1	I would never buy this again
2012-10-15 06:20:16	1228815	1274149	2	Cheap quality
2012-10-15 13:34:01	1229606	1274522	4	Alright but not great
2012-10-15 14:37:04	1182384	1274628	4	Average quality
2012-10-15 17:14:28	1086291	1274157	3	Quality was passable
2012-10-15 17:54:47	1166286	1274151	4	The item was decent
2012-10-15 23:42:48	1025997	1274210	3	Alright but nothing special
2012-10-16 01:43:55	1057881	1274179	2	Poor quality
2012-10-16 09:24:17	1200564	1274363	4	The product quality was OK
2012-10-16 10:06:28	1213646	1274348	4	Easy to use
2012-10-16 10:36:59	1214735	1274348	3	Second-rate product
2012-10-16 11:36:03	1180763	1273731	1	Bad product
2012-10-16 11:53:24	1112353	1274638	3	Passable quality
2012-10-16 21:26:22	1194326	1274012	4	Quality was passable
2012-10-17 01:18:58	1117409	1273901	3	Second-rate product
2012-10-17 01:23:40	1194295	1274054	4	The item was decent
2012-10-17 02:29:07	1203192	1274159	3	OK value
2012-10-17 07:24:57	1087374	1274505	4	Mediocre value
2012-10-17 07:57:27	1085945	1274731	3	Second-rate product
2012-10-17 10:11:41	1089387	1274451	4	It was tolerable
2012-10-17 11:09:36	1245429	1274130	3	Product was OK
2012-10-17 13:33:13	1180893	1274477	4	Not great, but not bad
2012-10-17 15:23:23	1144948	1273887	1	Inferior item
2012-10-17 15:35:57	1135922	1273772	5	Works great for me
2012-10-17 17:28:09	1247629	1274259	4	Mediocre quality
